OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1957:2,23.56433296,31.77899996,16.03233337,72.04066722,34.4666659,27.8320001,30.92833328,32.77199936,40.82799911,53.50933329,26.08266703,39.25833257,33.3793335,34.3700002
1957:3,24.69966698,28.70900027,16.33033371,72.06866709,35.77133433,27.61599986,32.19033241,33.05899938,45.10233434,54.45133336,27.02333323,40.03233337,33.6003329,33.99066798
1957:4,23.29166667,29.71799978,17.68533389,67.69833374,34.93666585,28.53133265,32.83633423,32.0473334,40.97799937,53.89466604,27.89233335,40.3390007,32.52300008,33.17566554
1958:1,22.39666684,26.74899991,17.39633369,71.11033376,33.82899984,25.22566668,35.19099935,30.80300013,38.9073321,51.73199972,24.60700035,39.79033407,30.97533353,31.05500031
1958:2,23.78300031,23.80933317,17.20633316,67.92366536,33.41933314,23.43266678,32.23633321,30.3793335,42.04700089,50.38266627,23.34499995,39.88733419,31.09966596,30.71800041
1958:3,25.48533312,19.31233342,18.17333412,71.70200094,35.3459994,23.2929999,33.68266678,31.40466626,46.48866653,53.78733444,25.47566605,41.19433339,32.20499992,31.98200035
1958:4,25.46333313,29.67466609,18.79600016,72.52000173,36.43833288,29.03966713,34.22133382,32.56700007,42.79799906,55.13666662,28.85666656,42.21100108,33.21366755,33.82199987
1959:1,27.2536672,34.24366633,19.28366725,79.00500234,37.36400096,30.04433314,37.80666733,33.41433334,41.04499944,57.21366628,28.01133347,42.35599899,33.87666702,35.04399999
1959:2,26.12933286,34.74799983,19.66333326,77.42599996,37.8793335,30.45133336,34.59066645,34.41233317,43.95033264,54.51533381,28.42800013,43.22766749,35.45166651,37.0946668
1959:3,28.83599981,26.79233297,20.13333321,77.17200216,38.83533351,28.51866722,36.45266596,34.82266617,48.47566605,55.62900035,29.58266703,44.38933309,35.50700124,35.00200017
1959:4,27.06800016,29.02633413,20.7203331,76.04466756,38.45600001,30.45133273,37.0373319,34.67199961,44.36800003,56.29266612,31.40433375,45.05099996,35.30000051,35.61999893
1960:1,26.70799955,40.08066686,20.56666629,80.95033264,39.57866796,33.32466634,40.09933345,35.73866653,42.44733302,56.82799911,30.035333,44.67966715,35.99066671,37.445666
1960:2,28.33433342,38.10633214,21.11766624,78.7513326,39.69999949,32.42233276,36.89866638,35.80699921,45.56999969,55.37166723,29.66600037,45.21200053,36.54333242,37.13700104
1960:3,27.66833305,28.29133352,21.09933281,76.46733093,39.59366608,28.53133329,38.80666606,35.25999959,49.39433289,58.17700068,28.84466616,45.76100032,35.94900004,35.90066655
1960:4,25.95499992,36.43400065,21.91233317,72.63266754,39.47233327,31.85000038,38.63733292,35.13699977,45.80366643,57.51300049,29.66599973,46.34133275,35.50699997,35.43733342
1961:1,27.00266647,28.9829998,21.40666644,77.08766683,38.27433268,27.98466682,42.28399913,34.24833298,43.41600037,59.33333333,27.6066672,45.26066717,34.44333394,34.53833262
1961:2,28.00699933,34.76266607,22.93300056,77.59499868,39.92733383,31.25233332,38.4066658,35.38333257,46.45500056,54.98666636,29.58266703,45.30900065,36.15600077,36.57499949
1961:3,29.35999997,26.82133357,22.6983331,79.48433431,40.98933283,29.48466682,40.68399938,35.91666667,50.59633382,59.16199875,31.04700025,46.535333,36.87466685,37.06666565
1961:4,29.076334,39.82100042,23.97200012,79.65333303,42.38499959,35.54966609,41.06866709,37.54366684,47.55699921,59.82566833,33.58266703,47.32566706,37.98000081,38.72366587
1962:1,29.63299942,39.2159996,23.83633359,84.02366384,42.02099991,34.12599945,45.22333272,37.66633352,44.785333,61.4956665,31.71366692,46.84200033,37.73133341,38.90633392
